ID,nextID,name,speaker,Textbox_type,Text_KR,Text_EN,Text_JP,Stage
100046,100047,시드,10201,0,제법 몸놀림이 좋네.,You're pretty nimble.,なかなか身のこなしがいいね。,Tutorial_cg2
100047,100048,에스트,10101,0,당연하지! 이래 보여도 운동을 좀 했었거든!,"Of course! I’ve done some sports, you know!",当たり前だよ！ こう見えても、少しは運動してたんだから！,Tutorial_cg2
100048,100049,에스트,10101,0,근데 뭔가 엄청 높이 뛸 수 있게 된 것 같아.,But I feel like I can jump really high now.,でも、なんかすごく高く跳べるようになったみたい。,Tutorial_cg2
100049,100050,시드,10201,0,이 세계의 존재는 다 그래. 좋은 거야.,Everything in this world is like that. It's a good thing.,この世界の存在はみんなそうだよ。いいことだね。,Tutorial_cg2
100050,100051,시드,10201,0,"아무것도 모를 테니까, 최대한 간단하게 설명할게.","Since you probably don't know anything, I'll keep it simple.",何も知らないだろうから、できるだけ簡単に説明するね。,Tutorial_cg2
100051,100052,에스트,10101,0,응!,Okay!,うん！,Tutorial_cg2
100052,100053,시드,10201,0,시드콩?,Seed-B?,シードビーン？,Tutorial_cg2
100053,100054,시드콩,10301,0,콩!,Be-Bean!,ビーン！,Tutorial_cg2
100054,100055,에스트,10101,0,!,!,!,Tutorial_cg2
100055,100056,에스트,10101,0,시드가…둘? 그런데 크기가 좀 작네?,There’s... two of you? But you’re so small.,シードが…二人？ でも、サイズがちょっと小さいね？,Tutorial_cg2
100056,100057,시드,10201,0,둘보다 많아. 하지만 우리는 모두 하나야.,More than two. But we are all one.,二人より多いよ。だけど、僕たちはみんな一つなんだ。,Tutorial_cg2
100057,100058,에스트,10101,0,분신술 같은 건가?,Is it like a shadow clone jutsu?,分身術みたいなもの？,Tutorial_cg2
100058,100059,시드,10201,0,…비슷해.,…Something like that.,…似たようなものさ。,Tutorial_cg2
100059,100060,시드,10201,0,아무튼 간단히 설명할게.,"Anyway, I’ll explain briefly.",とにかく、簡単に説明するね。,Tutorial_cg2
100060,100061,시드,10201,0,"위에 있는 나무의 열매는 밀어서 떨어뜨리고,",Push the fruits from the tree above so they fall down.,上の木の実は押して落として、,Tutorial_cg2
100061,100062,시드,10201,0,아래에 있는 나무의 열매는 가운데로 모아주면 돼.,"And for the fruits in the reflection below, gather them to the center.",下の木の実は真ん中に集めてくれればいいんだ。,Tutorial_cg2
100062,100063,에스트,10101,0,그게 전부야? 간단하네!,That’s it? Sounds easy!,それだけ？ 簡単だね！,Tutorial_cg2
100063,100064,시드,10201,0,"맞아. 곳곳에 시드콩이 있을 테니까, 도움받을 수 있을 꺼야.","Right. You’ll find Seed-Bs everywhere, so you can get their help.",そうだよ。あちこちにシードビーンがいるから、助けてもらえるはずさ。,Tutorial_cg2
100064,100065,시드,10201,0,한번 시작해 볼까?,Shall we start?,一度始めてみようか？,Tutorial_cg2
100065,100066,에스트,10101,0,응!,Yeah!,うん！,Tutorial_cg2
